WKT,id,codcen,dlibre,cod_generica,dgenerica_cas,dgenerica_val,despecifica,regimen,cif_centro,titular,direccion,codpos,telef,fax,mail,web,cod_ine_mun,noms_mun,localidad_oficial,comarca,provincia,latitud,longitud,cod_estado,desc_estado,tiene_ip,cod_aplicacion,desc_aplicacion
POINT (706358.889332048 4257104.84116793),1,3000047,CEIP LA RAMBLA,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,LA RAMBLA,PÚBLICO,Q5355128I,GENERALITAT VALENCIANA,"AV. DE ALCOY, S/N",3698,966908135,0,03000047@edu.gva.es,https://portal.edu.gva.es/03000047,3002,Agost,Agost,l'Alacantí,Alacant/Alicante,38.438389,-0.635608,A,ALTA,S,2,CENTROS
POINT (706229.822250353 4256729.05066891),2,3000060,CENTRE PRIVAT LA MILAGROSA,1015,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA,LA MILAGROSA,CONCERTADO,R0300117I,PARROQUIA DE SAN PEDRO DE AGOST,"CL. JUAN XXIII, 2",3698,965691143,0,cdlamilagrosa@colegiolamilagrosa.es,https://www.colegiolamilagrosa.es/,3002,Agost,Agost,l'Alacantí,Alacant/Alicante,38.435035,-0.637196,A,ALTA,N,2,CENTROS
POINT (715803.29534204 4295133.9699173),3,3000072,EL TEIX,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,EL TEIX,PÚBLICO,Q5355127A,GENERALITAT VALENCIANA,"CL. CIENTÍFICO J. MIQUEL CALATAYUD, 3",3870,965510053,0,03000072@edu.gva.es,0,3003,Agres,Agres,el Comtat,Alacant/Alicante,38.778552,-0.515703,L,AULARIO,N,2,CENTROS
POINT (729772.163334175 4264647.27888155),4,3000096,CEIP MIRADOR D'AIGÜES,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MIRADOR D'AIGÜES,PÚBLICO,Q5355126C,GENERALITAT VALENCIANA,"AV. DEL DOCTOR SAPENA, S/N",3569,966908140,0,03000096@edu.gva.es,https://portal.edu.gva.es/03000096,3004,Aigües,Aigües,l'Alacantí,Alacant/Alicante,38.500573,-0.365124,A,ALTA,S,2,CENTROS
POINT (686106.428593612 4228351.94080915),5,3000138,CEP VIRGEN DEL ROSARIO,1012,COLEGIO DE EDUCACIÓN PRIMARIA,COL·LEGI D'EDUCACIÓ PRIMÀRIA,VIRGEN DEL ROSARIO,PÚBLICO,Q5355176H,GENERALITAT VALENCIANA,"CL. CALVARIO, 70",3340,966912020,0,03000138@edu.gva.es,0,3005,Albatera,Albatera,el Baix Segura/La Vega Baja,Alacant/Alicante,38.183887,-0.875071,A,ALTA,S,2,CENTROS
POINT (689467.283262125 4227249.75978638),6,3000151,CEIP JESÚS SÁNCHEZ,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JESÚS SÁNCHEZ,PÚBLICO,Q5355315B,GENERALITAT VALENCIANA,"CL. SALVADOR, 1",3349,966912015,0,03000151@edu.gva.es,0,3904,San Isidro,San Isidro,el Baix Segura/La Vega Baja,Alacant/Alicante,38.17326,-0.837016,A,ALTA,S,2,CENTROS
POINT (757221.016990364 4293309.91373864),7,3000163,CEIP MOSQUERA,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MOSQUERA,PÚBLICO,Q5355175J,GENERALITAT VALENCIANA,"CL. LES ESCOLES, S/N",3728,965739010,0,03000163@edu.gva.es,0,3006,Alcalalí,Alcalalí,la Marina Alta,Alacant/Alicante,38.751034,-0.040131,L,AULARIO,S,2,CENTROS
POINT (718493.76814976 4286020.89172606),8,3000230,CEIP EL ROMERAL,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,EL ROMERAL,PÚBLICO,Q5355047A,GENERALITAT VALENCIANA,"CL. MESTRE RIBERA MONTÉS, 10",3802,966527820,0,03000230@edu.gva.es,0,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.695844,-0.487636,A,ALTA,S,2,CENTROS
POINT (719798.585879119 4285437.22368382),9,3000266,CEIP SAN VICENTE,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SAN VICENTE,PÚBLICO,Q5355109I,GENERALITAT VALENCIANA,"CL. SAN VICENTE, 50",3801,966527825,0,03000266@edu.gva.es,https://portal.edu.gva.es/03000266,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.690266,-0.472831,A,ALTA,S,2,CENTROS
POINT (719029.794424653 4286989.28599152),10,3000308,CEE PÚB. TOMÀS LLÀCER,1020,CENTRO DE EDUCACIÓN ESPECIAL,CENTRE D'EDUCACIÓ ESPECIAL,TOMÀS LLÀCER,PÚBLICO,Q5355174C,GENERALITAT VALENCIANA,"CL. PERIÓDICO CIUDAD, 4",3801,966527830,0,03000308@edu.gva.es,https://portal.edu.gva.es/03000308,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.70443,-0.481172,A,ALTA,S,2,CENTROS
