PROVINCIA,LOCALIDAD,CENTRO,RÉGIMEN,GRADO,FAMILIA,CICLO,TURNO,
ALACANT,ALACANT,CIPFP MARÍTIMO PESQUERO DEL MEDITERRÁNEO,Público,MEDIO,MARÍTIMO PESQUERA,MANTENIMIENTO Y CONTROL DE LA MAQUINARIA DE BUQUES Y EMBARCACIONES (LFP),Diurno,1
ALACANT,ALACANT,CIPFP MARÍTIMO PESQUERO DEL MEDITERRÁNEO ,Público,MEDIO,MARÍTIMO PESQUERA,NAVEGACIÓN Y PESCA DE LITORAL (LFP),Diurno,1
ALACANT,ALACANT,CIPFP MARÍTIMO PESQUERO DEL MEDITERRÁNEO ,Público,MEDIO,MARÍTIMO PESQUERA,OPERACIONES SUBACUÁTICAS E HIPERBÁRICAS (LFP),Diurno,2
ALACANT,ALACANT,CIPFP MARÍTIMO PESQUERO DEL MEDITERRÁNEO ,Público,SUPERIOR,MARÍTIMO PESQUERA,ORGANIZACIÓN DEL MANTENIMIENTO DE MAQUINARIA DE BUQUES Y EMBARCACIONES (LFP),Diurno,1
ALACANT,ALACANT,CIPFP MARÍTIMO PESQUERO DEL MEDITERRÁNEO ,Público,SUPERIOR,MARÍTIMO PESQUERA,TRANSPORTE MARÍTIMO Y PESCA DE ALTURA (LFP),Diurno,1
ALACANT,ALACANT,IES 8 DE MARZO,Público,MEDIO,ACTIVIDADES FÍSICAS Y DEPORTIVAS,GUÍA EN EL MEDIO NATURAL Y DE TIEMPO LIBRE (LFP),Diurno,1
ALACANT,ALACANT,IES 8 DE MARZO,Público,SUPERIOR,ACTIVIDADES FÍSICAS Y DEPORTIVAS,ACONDICIONAMIENTO FÍSICO (LFP),Diurno,2
ALACANT,ALACANT,IES 8 DE MARZO,Público,SUPERIOR,ACTIVIDADES FÍSICAS Y DEPORTIVAS,ENSEÑANZA Y ANIMACIÓN SOCIODEPORTIVA (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,BÁSICO,ELECTRICIDAD Y ELECTRÓNICA,ELECTRICIDAD Y ELECTRÓNICA (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,BÁSICO,ELECTRICIDAD Y ELECTRÓNICA,INSTALACIONES ELECTROTÉCNICAS Y MECÁNICA (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,BÁSICO,FABRICACIÓN MECÁNICA,FABRICACIÓN Y MONTAJE (LFP),Diurno,1
