PROVINCIA,LOCALIDAD,CENTRO,RÉGIMEN,GRADO,FAMILIA,CICLO,TURNO,CURSOS
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,CE SUPERIOR,ELECTRICIDAD Y ELECTRÓNICA,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE OPERACIÓN,Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,CE SUPERIOR,INSTALACIÓN Y MANTENIMIENTO,FABRICACIÓN INTELIGENTE,Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,CE SUPERIOR,QUÍMICA,CULTIVOS CELULARES,Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,CE MEDIO,TRANSPORTE Y MANTENIMENTO DE VEHICULOS,MANTENIMIENTO DE VEHÍCULOS HÍBRIDOS Y ELÉCTRICOS,Diurno,1
ALACANT,ALACANT,IES MARE NOSTRUM,Público,CE SUPERIOR,INFORMÁTICA Y COMUNICACIONES,ADMINISTRACIÓN DE RECURSOS Y SERVICIOS EN LA NUBE (LFP),Diurno,1
ALACANT,ALACANT,IES MARE NOSTRUM,Público,CE SUPERIOR,INFORMÁTICA Y COMUNICACIONES,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN,Semipresencial,1
ALACANT,ALACANT,IES VIRGEN DEL RECE MEDIO,Público,CE MEDIO,HOSTELERÍA Y TURISMO,PANADERÍA Y BOLLERÍA ARTESANALES,Diurno,1
ALACANT,ALCOI,CIPFP BATOI,Público,CE SUPERIOR,INFORMÁTICA Y COMUNICACIONES,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN,Diurno,1
ALACANT,ALCOI,IES COTES BAIXES,Público,CE SUPERIOR,ELECTRICIDAD Y ELECTRÓNICA,ROBÓTICA COLABORATIVA (LFP),Diurno,1
ALACANT,ALCOI,IES COTES BAIXES,Público,CE SUPERIOR,INSTALACIÓN Y MANTENIMIENTO,FABRICACIÓN INTELIGENTE,Diurno,1
ALACANT,ALMORADÍ,IES ANTONIO SEQUEROS,Público,CE SUPERIOR,INFORMÁTICA Y COMUNICACIONES,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN,Semipresencial,1
ALACANT,ALMORADÍ,IES ANTONIO SEQUEROS,Público,CE SUPERIOR,INFORMÁTICA Y COMUNICACIONES,INTELIGENCIA ARTIFICIAL Y BIG DATA,Semipresencial,1
ALACANT,BENIDORM,IES BEATRIU FAJARDO DE MENDOZA,Público,CE SUPERIOR,ENERGÍA Y AGUA,AUDITORÍA ENERGÉTICA,Diurno,1
